phase,unique_users,joy_mean,joy_std,joy_95ci,sadness_mean,sadness_std,sadness_95ci,anger_mean,anger_std,anger_95ci,surprise_mean,surprise_std,surprise_95ci,disgust_mean,disgust_std,disgust_95ci,fear_mean,fear_std,fear_95ci
Before COVID Phases,1450,0.24563464759132334,0.1473609897950625,"(0.23804346326558729, 0.2532258319170594)",0.02719179333213584,0.02476951541342553,"(0.025915811422513965, 0.028467775241757712)",0.01574015904516489,0.026849326251385405,"(0.01435703733242705, 0.017123280757902728)",0.01630318236409956,0.012721545704971532,"(0.015647842043102676, 0.01695852268509644)",0.0794887183090466,0.09012958577774627,"(0.07484576429664057, 0.08413167232145262)",0.01731342734898655,0.01901430974128669,"(0.01633392028763006, 0.01829293441034304)"
Phase 1,1450,0.20708157374009892,0.1336573011009234,"(0.20019632405123242, 0.21396682342896542)",0.03321503841157986,0.026861331623639483,"(0.031831298251627414, 0.0345987785715323)",0.01781067455835433,0.030755711337412676,"(0.016226318521141744, 0.019395030595566916)",0.01476533836893803,0.011303788831019526,"(0.014183032667036856, 0.015347644070839205)",0.08485181024518312,0.08499291219861348,"(0.08047346789163311, 0.08923015259873314)",0.036075284700355544,0.030933340627583038,"(0.034481778231368526, 0.03766879116934256)"
Phase 2,1450,0.22913860056432675,0.14714307008730476,"(0.22155864219922045, 0.23671855892943305)",0.03202667437550677,0.030311818103641988,"(0.03046518514560314, 0.0335881636054104)",0.018094791048015143,0.03257878571175461,"(0.016416520782658452, 0.01977306131337184)",0.014796209523281057,0.014057701328567557,"(0.014072038206776532, 0.015520380839785589)",0.08164864675964334,0.0875804147029835,"(0.07713701127009245, 0.08616028224919423)",0.02458497140829729,0.02611436588485465,"(0.023239710594988833, 0.025930232221605745)"
Phase 3,1450,0.2439379457007694,0.16203611885265873,"(0.23559078375955245, 0.25228510764198636)",0.030917039618712353,0.029902708173680168,"(0.029376625361853818, 0.0324574538755709)",0.01395936695221163,0.02448012950095154,"(0.01269829252798271, 0.015220441376440547)",0.014359215887625438,0.014234040751357868,"(0.013625960585839885, 0.015092471189410985)",0.07201276144290938,0.08125238956591017,"(0.06782710914131225, 0.07619841374450652)",0.023254646562351572,0.025982389880130918,"(0.021916184388084736, 0.024593108736618408)"
Phase 4,1443,0.2450983703467988,0.17766156146454035,"(0.2359240673407127, 0.2542726733528849)",0.03205532663275593,0.04040555255432586,"(0.029968815745392664, 0.03414183752011919)",0.013875424235273631,0.024514975456128456,"(0.012609490224746677, 0.015141358245800578)",0.014413425254982147,0.030870719614893242,"(0.012819285625518831, 0.016007564884445456)",0.07619897826823185,0.0907695379276762,"(0.071511710871693, 0.0808862456647707)",0.019525732993582418,0.02574259411378802,"(0.018196405723149095, 0.02085506026401574)"
