,phase,unique_users,joy_mean,joy_std,joy_95ci,sadness_mean,sadness_std,sadness_95ci,anger_mean,anger_std,anger_95ci,surprise_mean,surprise_std,surprise_95ci,disgust_mean,disgust_std,disgust_95ci,fear_mean,fear_std,fear_95ci
0,Before COVID Phases,1375,0.23031013919733684,0.15490173386006126,"(np.float64(0.2221153883040869), np.float64(0.23850489009058684))",0.026983142536939113,0.02144169423046406,"(np.float64(0.025848814737183014), np.float64(0.028117470336695212))",0.020924003748140914,0.030138130186293743,"(np.float64(0.019329609269069868), np.float64(0.022518398227211966))",0.020638801470888837,0.013660271511963105,"(np.float64(0.01991613349690847), np.float64(0.021361469444869205))",0.09603170091573388,0.09350449140101522,"(np.float64(0.0910850421835367), np.float64(0.10097835964793105))",0.014337412595851784,0.016716613400483808,"(np.float64(0.013453055273425135), np.float64(0.015221769918278432))"
1,Phase 1,1375,0.19634502073777932,0.13993216145729018,"(np.float64(0.1889422036322428), np.float64(0.20374783784331585))",0.030995645488598598,0.023674885342366482,"(np.float64(0.029743175403388205), np.float64(0.032248115573808994))",0.024014252317271997,0.033873509508798666,"(np.float64(0.022222245440476733), np.float64(0.02580625919406726))",0.01888541032607404,0.013800399929066749,"(np.float64(0.018155329152495358), np.float64(0.019615491499652724))",0.10156806563131789,0.09280844787448661,"(np.float64(0.09665822962000718), np.float64(0.10647790164262856))",0.022353131798988624,0.023338294788395518,"(np.float64(0.02111846833010252), np.float64(0.023587795267874728))"
2,Phase 2,1375,0.2092014558030964,0.15274877852333907,"(np.float64(0.2011206024901322), np.float64(0.2172823091160606))",0.028348743507558824,0.025530184792742654,"(np.float64(0.026998122701569857), np.float64(0.029699364313547798))",0.022407901692968486,0.03207858851472926,"(np.float64(0.020710851341532402), np.float64(0.02410495204440457))",0.019334405094252275,0.016152876486453506,"(np.float64(0.018479871089258474), np.float64(0.02018893909924607))",0.10000707498274375,0.09425884884902656,"(np.float64(0.09502050855411946), np.float64(0.10499364141136804))",0.016246440092499904,0.02048861258009766,"(np.float64(0.015162533075720554), np.float64(0.017330347109279255))"
3,Phase 3,1375,0.21774269310115593,0.15723297209268056,"(np.float64(0.20942461294545622), np.float64(0.22606077325685553))",0.029232742477855,0.0273905125006072,"(np.float64(0.027783704941685767), np.float64(0.030681780014024235))",0.018461231863523688,0.02813144444621465,"(np.float64(0.016972996878934738), np.float64(0.01994946684811263))",0.01871582486045227,0.01634378497500926,"(np.float64(0.017851191242832222), np.float64(0.01958045847807232))",0.0879916255387662,0.08613080664301927,"(np.float64(0.08343505611190707), np.float64(0.0925481949656253))",0.016193233651039515,0.02318689218661994,"(np.float64(0.01496657981881288), np.float64(0.01741988748326615))"
4,Phase 4,1370,0.2178664398351205,0.1697048336529573,"(np.float64(0.20887216500782), np.float64(0.22686071466242094))",0.028569018875226185,0.031097780311903266,"(np.float64(0.026920851426936194), np.float64(0.030217186323516176))",0.018753208069346647,0.032222763543669555,"(np.float64(0.01704541704908874), np.float64(0.020460999089604553))",0.01840142338961756,0.01924647053785549,"(np.float64(0.017381369677847532), np.float64(0.019421477101387582))",0.09340161863512587,0.0978790348257197,"(np.float64(0.08821407671246187), np.float64(0.09858916055778988))",0.013914987379512921,0.025519252616601002,"(np.float64(0.012562479224734052), np.float64(0.01526749553429179))"
