year,month,joy_mean,joy_std,joy_count,sadness_mean,sadness_std,sadness_count,anger_mean,anger_std,anger_count,surprise_mean,surprise_std,surprise_count,disgust_mean,disgust_std,disgust_count,fear_mean,fear_std,fear_count,date_first,joy_ci_lower,joy_ci_upper,sadness_ci_lower,sadness_ci_upper,anger_ci_lower,anger_ci_upper,surprise_ci_lower,surprise_ci_upper,disgust_ci_lower,disgust_ci_upper,fear_ci_lower,fear_ci_upper
2019,1,0.22928133778692766,0.19907787648032824,1343,0.025460611920148406,0.04710225170390966,1343,0.023361240850522914,0.05618303225433017,1343,0.018470299229204307,0.031228528127718362,1343,0.09707077856157617,0.11737308814997395,1343,0.01579534337444536,0.02984264527692437,1343,2019-01-31,0.2186339992078303,0.23992867636602502,0.02294142882157367,0.027979795018723143,0.020356387788051596,0.026366093912994232,0.01680009499465422,0.020140503463754393,0.09079328036990492,0.10334827675324743,0.014199260705808334,0.017391426043082386
2019,2,0.23769459081097716,0.1968189771638368,1323,0.026549996951678353,0.05096741558046109,1323,0.01990794766885522,0.055630917910508344,1323,0.020450004421037747,0.03256683222379797,1323,0.09342410822185564,0.12261687823266865,1323,0.014652533762175736,0.029323887747980115,1323,2019-02-28,0.22708879846257482,0.2483003831593795,0.02380356551518567,0.029296428388171036,0.016910218628638077,0.022905676709072363,0.018695107281605186,0.022204901560470308,0.08681677204073884,0.10003144440297243,0.01307238601024402,0.016232681514107453
2019,3,0.23838531085167536,0.2015987409196305,1313,0.028439240839866667,0.062255267288297,1313,0.01968692218446525,0.05318289332646165,1313,0.021952792493789702,0.048992278020913944,1313,0.0875723056979374,0.11384227332534481,1313,0.012329421328249846,0.025172489759704163,1313,2019-03-31,0.2274806660525273,0.2492899556508234,0.025071801273735952,0.031806680405997385,0.016810214926917227,0.022563629442013275,0.01930275912908652,0.024602825858492886,0.08141448175480419,0.09373012964107062,0.010967820267213475,0.013691022389286217
2019,4,0.2429990463375477,0.19588345294665413,1321,0.026601803601150734,0.04518658191134131,1321,0.020013489644047273,0.05431796899872137,1321,0.022560579293376005,0.051677287267059176,1321,0.08954753891196963,0.12178546186926585,1321,0.011876841805553094,0.024195270750630538,1321,2019-04-30,0.23243567824558672,0.2535624144295087,0.024165035766161445,0.029038571436140023,0.017084295309814868,0.022942683978279678,0.019773788478816397,0.025347370107935613,0.08298003847932776,0.0961150393446115,0.010572068241585075,0.013181615369521112
2019,5,0.24787688731547933,0.2101968099203815,1346,0.029678514784853983,0.056136603916322546,1346,0.020390740194876786,0.045009830813586706,1346,0.020906677269235244,0.035608111066923395,1346,0.09293092046128806,0.1216150177751044,1346,0.013553838955644677,0.03195196795865973,1346,2019-05-31,0.23664740690078237,0.2591063677301763,0.0266794926090906,0.032677536960617364,0.017986150830359572,0.022795329559394,0.019004362072435492,0.022808992466034995,0.08643380254234415,0.09942803838023198,0.011846848261833945,0.015260829649455408
2019,6,0.24005632575855684,0.20658051456259738,1338,0.026997143727376036,0.04947744236098716,1338,0.020752494964833983,0.05647324186533337,1338,0.020541030271972724,0.04696395244574493,1338,0.09451441811126338,0.12376570396178534,1338,0.01535485936160739,0.04279241832689524,1338,2019-06-30,0.2289870968278641,0.2511255546892496,0.024345987893252263,0.029648299561499808,0.017726482351837342,0.023778507577830624,0.01802455507481858,0.02305750546912687,0.08788266528683997,0.10114617093568679,0.01306190798639508,0.017647810736819702
2019,7,0.22704168891578394,0.19998965342672223,1353,0.024851949761136565,0.05307223078148873,1353,0.023544298442295285,0.05434321057511873,1353,0.019817500179778756,0.03302647433373498,1353,0.09694475194199625,0.12236624176116123,1353,0.01629364234897894,0.04605246616076951,1353,2019-07-31,0.21638518617832767,0.23769819165324022,0.022023981599208264,0.027679917923064866,0.02064860577853403,0.02643999110605654,0.018057675568277382,0.02157732479128013,0.09042443367574232,0.10346507020825019,0.013839724242217131,0.01874756045574075
2019,8,0.2258034167176712,0.19935247187127914,1349,0.027479395268752004,0.045386466291176444,1349,0.020930156827644902,0.040770254545167015,1349,0.020226106228367798,0.0352391745040853,1349,0.09803570790335644,0.12260237739542486,1349,0.014997239641825493,0.038835166341611944,1349,2019-08-31,0.21516512925136633,0.2364417041839761,0.02505738228364563,0.029901408253858376,0.018754484342349793,0.023105829312940012,0.018345595468050757,0.022106616988684838,0.09149312870911855,0.10457828709759434,0.012924831612640898,0.017069647671010088
2019,9,0.2294493759185193,0.1946404681678912,1348,0.027729080752010405,0.05474315219838789,1348,0.021340107597085056,0.043783059658582354,1348,0.02007082900753362,0.028765316214287212,1348,0.09521370805337877,0.1188497693858074,1348,0.013414621969667294,0.026557304799811336,1348,2019-09-30,0.2190586888449061,0.2398400629921325,0.02480667222478685,0.03065148927923396,0.019002792668078344,0.023677422526091767,0.018535221319319596,0.021606436695747647,0.08886903176851799,0.10155838433823955,0.011996886766444392,0.014832357172890196
2019,10,0.2285451624822955,0.19096705749509638,1353,0.026323669330757683,0.0533652950089548,1353,0.02200016924549737,0.053956034317908616,1353,0.02418224164907412,0.054742205034923046,1353,0.0962387112753183,0.11669558286924958,1353,0.01435985166482823,0.026399545029553564,1353,2019-10-31,0.21836943120774674,0.23872089375684427,0.023480085162257386,0.02916725349925798,0.019125107373250284,0.024875231117744454,0.02126528845767916,0.027099194840469083,0.09002055560082554,0.10245686694981106,0.012953144772473332,0.01576655855718313
